"date","cases","deaths","recoveries","date_diff","cases_diff","deaths_diff","recoveries_diff","month","day_of_week","cases_log","deaths_log","recoveries_log"
2020-01-22,1,0,0,0,0,0,0,"January","Wednesday",0,0,0
2020-01-23,1,0,0,1,0,0,0,"January","Thursday",0,0,0
2020-01-24,2,0,0,1,1,0,0,"January","Friday",0.693147180559945,0,0
2020-01-25,3,0,0,1,1,0,0,"January","Saturday",1.09861228866811,0,0
2020-01-26,5,0,0,1,2,0,0,"January","Sunday",1.6094379124341,0,0
2020-01-27,5,0,0,1,0,0,0,"January","Monday",1.6094379124341,0,0
2020-01-28,5,0,0,1,0,0,0,"January","Tuesday",1.6094379124341,0,0
2020-01-29,5,0,0,1,0,0,0,"January","Wednesday",1.6094379124341,0,0
2020-01-30,6,0,0,1,1,0,0,"January","Thursday",1.79175946922805,0,0
2020-01-31,7,0,0,1,1,0,0,"January","Friday",1.94591014905531,0,0
2020-02-01,8,0,0,1,1,0,0,"February","Saturday",2.07944154167984,0,0
2020-02-02,11,0,0,1,3,0,0,"February","Sunday",2.39789527279837,0,0
2020-02-03,11,0,0,1,0,0,0,"February","Monday",2.39789527279837,0,0
2020-02-04,11,0,0,1,0,0,0,"February","Tuesday",2.39789527279837,0,0
2020-02-05,12,0,0,1,1,0,0,"February","Wednesday",2.484906649788,0,0
2020-02-06,12,0,0,1,0,0,0,"February","Thursday",2.484906649788,0,0
2020-02-07,12,0,0,1,0,0,0,"February","Friday",2.484906649788,0,0
2020-02-08,12,0,0,1,0,0,0,"February","Saturday",2.484906649788,0,0
2020-02-09,12,0,3,1,0,0,3,"February","Sunday",2.484906649788,0,1.09861228866811
2020-02-10,13,0,3,1,1,0,0,"February","Monday",2.56494935746154,0,1.09861228866811
2020-02-11,13,0,3,1,0,0,0,"February","Tuesday",2.56494935746154,0,1.09861228866811
2020-02-12,14,0,3,1,1,0,0,"February","Wednesday",2.63905732961526,0,1.09861228866811
2020-02-13,15,0,3,1,1,0,0,"February","Thursday",2.70805020110221,0,1.09861228866811
2020-02-14,15,0,3,1,0,0,0,"February","Friday",2.70805020110221,0,1.09861228866811
2020-02-15,15,0,3,1,0,0,0,"February","Saturday",2.70805020110221,0,1.09861228866811
2020-02-16,15,0,3,1,0,0,0,"February","Sunday",2.70805020110221,0,1.09861228866811
2020-02-17,25,0,3,1,10,0,0,"February","Monday",3.2188758248682,0,1.09861228866811
2020-02-18,25,0,3,1,0,0,0,"February","Tuesday",3.2188758248682,0,1.09861228866811
2020-02-19,25,0,3,1,0,0,0,"February","Wednesday",3.2188758248682,0,1.09861228866811
2020-02-20,27,0,3,1,2,0,0,"February","Thursday",3.29583686600433,0,1.09861228866811
2020-02-21,30,0,5,1,3,0,2,"February","Friday",3.40119738166216,0,1.6094379124341
2020-02-22,30,0,5,1,0,0,0,"February","Saturday",3.40119738166216,0,1.6094379124341
2020-02-23,30,0,5,1,0,0,0,"February","Sunday",3.40119738166216,0,1.6094379124341
2020-02-24,43,0,5,1,13,0,0,"February","Monday",3.76120011569356,0,1.6094379124341
2020-02-25,45,0,6,1,2,0,1,"February","Tuesday",3.80666248977032,0,1.79175946922805
2020-02-26,60,0,6,1,15,0,0,"February","Wednesday",4.0943445622221,0,1.79175946922805
2020-02-27,60,0,6,1,0,0,0,"February","Thursday",4.0943445622221,0,1.79175946922805
2020-02-28,65,0,7,1,5,0,1,"February","Friday",4.17438726989564,0,1.94591014905531
2020-02-29,70,1,7,1,5,1,0,"February","Saturday",4.24849524204936,0,1.94591014905531
